Categoria, Num, Peso
Red,2813,7
Empresa,1966,7
Conectividad,1326,7
Dato,782,7
Infraestructura,736,7
Internet,701,7
Desarrollo,669,6
Ecosistema,647,5
Trabajo,627,7
Oportunidad,429,6
5G,363,4
Digitalizacion,299,4
Telecomunicaciones,221,7
Cultura,214,6
Nube,211,5
Salud,189,6
Aprender,186,5
4G,155,5
Ciberseguridad,146,4
Data,122,6
Estrategia,89,6
privacidad,79,3
Encuesta,69,3
Redes sociales,68,3
Sustentable,60,2
Telemedicina,59,2
Empleo,57,4
Turismo,55,4
Productividad,48,7
Algoritmo,46,3
